Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57340,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57342,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57344,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57346,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57350,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57354,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57379,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57381,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57383,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57385,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57389,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57395,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57397,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57399,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,49674,127.0.0.1,57401,1601-01-01T00:00:00Z,F.D5L3RI10KIT42.H,C.89b5e85d8e5759ff,Shetty
